Authors,Title,Year,Source title,Cited by,DOI Link,Authors with affiliations,Author Keywords,Index Keywords
Biswas P.; Dodakian L.; Wang P.T.; Johnson C.A.; See J.; Chan V.; Chou C.; Lazouras W.; McKenzie A.L.; Reinkensmeyer D.J.; Nguyen D.V.; Cramer S.C.; Do A.H.; Nenadic Z.,"A single-center, assessor-blinded, randomized controlled clinical trial to test the safety and efficacy of a novel brain-computer interface controlled functional electrical stimulation (BCI-FES) intervention for gait rehabilitation in the chronic stroke population",2024,BMC Neurology,17,https://www.scopus.com/pages/publications/85196137981?origin=resultslist,"Biswas P., Department of Biomedical Engineering, University of California, Irvine, United States; Dodakian L., Department of Rehabilitation Services, University of California at Irvine Medical Center, Orange, United States; Wang P.T., Department of Biomedical Engineering, University of California, Irvine, United States; Johnson C.A., Department of Biomedical Engineering, University of California, Irvine, United States; See J., Department of Rehabilitation Services, University of California at Irvine Medical Center, Orange, United States; Chan V., Department of Rehabilitation Services, University of California at Irvine Medical Center, Orange, United States; Chou C., Department of Rehabilitation Services, University of California at Irvine Medical Center, Orange, United States; Lazouras W., Department of Rehabilitation Services, University of California at Irvine Medical Center, Orange, United States, Department of Epidemiology and Biostatistics, University of California, Irvine, United States; McKenzie A.L., Department of Neurology, University of California, Irvine, United States, Department of Physical Therapy, Chapman University, Orange, United States; Reinkensmeyer D.J., Department of Anatomy and Neurobiology, University of California, Irvine, United States, Department of Mechanical and Aerospace Engineering, University of California, Irvine, United States; Nguyen D.V., Department of General Internal Medicine, University of California, Irvine, United States; Cramer S.C., Department of Neurology, University of California, Los Angeles, United States, California Rehabilitation Institute, Los Angeles, United States; Do A.H., Department of Neurology, University of California, Irvine, United States; Nenadic Z., Department of Biomedical Engineering, University of California, Irvine, United States, Department of Electrical Engineering and Computer Science, University of California, Irvine, United States",Brain plasticity; Brain-computer interface; Electroencephalography; Functional electrical stimulation; Gait velocity; Lower extremity rehabilitation; Motor learning; Neurorehabilitation; Stroke,"Adult; Aged; Brain-Computer Interfaces; Chronic Disease; Electric Stimulation Therapy; Female; Gait; Gait Disorders, Neurologic; Humans; Male; Middle Aged; Single-Blind Method; Stroke; Stroke Rehabilitation; Treatment Outcome; mephenoxalone; placebo; adult; ankle sprain; aphasia; Article; Barthel index; Berg Balance Scale; brain hemorrhage; cerebrovascular accident; cognition; cognitive defect; controlled study; cranioplasty; daily life activity; deep vein thrombosis; depression; diastolic blood pressure; drug efficacy; drug safety; dyspnea; electroencephalogram; electroencephalography; electromyography; electrostimulation; feasibility study; functional electrical stimulation; gait; Geriatric Depression Scale; goniometry; hospitalization; human; intervention study; joint function; kinematics; longitudinal study; lung embolism; male; mental disease; Mini Mental State Examination; mobilization; muscle strength; muscle training; National Institutes of Health Stroke Scale; nuclear magnetic resonance imaging; outcome assessment; peroneus nerve paralysis; phase 2 clinical trial; physical activity; physiotherapy; quality of life; randomized controlled trial; randomized controlled trial (topic); range of motion; rating scale; six minute walk test; thorax pain; training; visual analog scale; walking; walking speed; aged; brain computer interface; cerebrovascular accident; chronic disease; complication; electrotherapy; etiology; female; gait; middle aged; neurologic gait disorder; pathophysiology; physiology; procedures; rehabilitation; single blind procedure; stroke rehabilitation; treatment outcome"
Whitsitt Q.; Saxena A.; Patel B.; Evans B.M.; Hunt B.; Purcell E.K.,Spatial transcriptomics at the brain-electrode interface in rat motor cortex and the relationship to recording quality,2024,Journal of Neural Engineering,6,https://www.scopus.com/pages/publications/85200275166?origin=resultslist,"Whitsitt Q., Department of Biomedical Engineering, Institute of Quantitative Health Science and Engineering, Michigan State University, East Lansing, 48824, MI, United States; Saxena A., Department of Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States; Patel B., Department of Biomedical Engineering, Institute of Quantitative Health Science and Engineering, Michigan State University, East Lansing, 48824, MI, United States; Evans B.M., Department of Biomedical Engineering, Institute of Quantitative Health Science and Engineering, Michigan State University, East Lansing, 48824, MI, United States; Hunt B., Department of Biomedical Engineering, Institute of Quantitative Health Science and Engineering, Michigan State University, East Lansing, 48824, MI, United States; Purcell E.K., Department of Biomedical Engineering, Institute of Quantitative Health Science and Engineering, Michigan State University, East Lansing, 48824, MI, United States, Department of Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",differential gene expression; electrophysiology; foreign body reaction; microelectrode implants; spatial transcriptomics,"Animals; Brain-Computer Interfaces; Electrodes, Implanted; Male; Microelectrodes; Motor Cortex; Neurons; Rats; Rats, Sprague-Dawley; Transcriptome; Biomarkers; Brain; Cell death; Electrophysiology; Gene expression; Neurons; Rats; Tissue; beta 2 microglobulin; biological marker; bupivacaine; calvasculin; carrier protein; chitinase 3 like protein 1; complement C1q b chain; complement component C1q; complement component C3; complementary DNA; fatty acid binding protein 7; Fc receptor; fc receptor like 2; ferritin; ferritin light polypeptide 1; galectin 3; glial fibrillary acidic protein; heat shock protein 27; isoflurane; lipocalin; lysozyme; lysozyme 2; meloxicam; membrane protein; messenger RNA; metallothionein II; mt2a protein; neuron specific nuclear protein; osteopontin; protein; ribonuclease T2; ribosomal protein L38; ribosomal protein SA; ribosome protein; serping family G member 1; snap25 protein; somatomedin binding protein 2; translocator protein; transmembrane immune signaling adaptor tyrobp; transmembrane protein 176a; unclassified drug; transcriptome; Differential gene expressions; Differentially expressed gene; Electrophysiological recordings; Foreign body reactions; Implanted electrodes; Microelectrode implant; Rat motor cortex; Spatial transcriptomic; Tissue response; Transcriptomics; adult; animal experiment; animal model; animal tissue; antibody labeling; Article; astrocyte; brain electrophysiology; brain tissue; cell proliferation; comparative study; controlled study; differential gene expression; electrode implantation; electrophysiological procedures; gene identification; glia; histology; immunohistochemistry; local field potential; male; motor cortex; nerve cell; nonhuman; postoperative analgesia; postoperative pain; quantitative analysis; rat; RNA sequencing; tissue reaction; tissue section; transcriptomics; animal; brain computer interface; electrode implant; metabolism; microelectrode; motor cortex; physiology; Sprague Dawley rat; Microelectrodes"
Osuagwu B.A.; Zych M.; Vuckovic A.,Is implicit motor imagery a reliable strategy for a brain–computer interface?,2017,IEEE Transactions on Neural Systems and Rehabilitation Engineering,17,https://www.scopus.com/pages/publications/85023766997?origin=resultslist,"Osuagwu B.A., Centre for Rehabilitation Engineering, University of Glasgow, Glasgow, G12 8QQ, United Kingdom, Stoke Mandeville Spinal Research, National Spinal Injuries Centre, Stoke Mandeville Hospital, Buckinghamshire NHS Trust, Aylesbury, HP21 8AL, United Kingdom; Zych M., Centre for Rehabilitation Engineering, University of Glasgow, Glasgow, G12 8QQ, United Kingdom, School of Electrical and Electronic Engineering, University College Dublin, Dublin, D04 V1W8, Ireland; Vuckovic A., Centre for Rehabilitation Engineering, University of Glasgow, Glasgow, G12 8QQ, United Kingdom",BCI; EEG; Mental rotation; Motor imagery; Sensorimotor cortex activation,Adult; Brain-Computer Interfaces; Electroencephalography; Female; Hand; Healthy Volunteers; Humans; Imagination; Judgment; Linear Models; Male; Movement; Reproducibility of Results; Rotation; Software; Stroke Rehabilitation; Young Adult; Computers; Electrodes; Electroencephalography; Electrophysiology; Flow visualization; Interfaces (computer); Mental rotation; Motor imagery; Pain; Sensorimotor cortex; Spinal cord injuries (SCI); accuracy; adult; algorithm; Article; brain computer interface; cerebrovascular accident; clinical trial; common spatial pattern; comparative study; decision making; discriminant analysis; electroencephalography; electrooculogram; explicit motor imagery; female; hand movement; human; human experiment; implicit motor imagery; independent component analysis; male; mathematical parameters; mental rotation test; muscle contraction; neurorehabilitation; normal human; questionnaire; sensorimotor cortex; signal processing; young adult; classification; hand; imagination; movement (physiology); physiology; procedures; reproducibility; rotation; software; statistical model; statistics and numerical data; stroke rehabilitation; Brain computer interface
Talakoub O.; Marquez-Chin C.; Popovic M.R.; Navarro J.; Fonoff E.T.; Hamani C.; Wong W.,Reconstruction of reaching movement trajectories using electrocorticographic signals in humans,2017,PLoS ONE,17,https://www.scopus.com/pages/publications/85029598520?origin=resultslist,"Talakoub O., Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada, Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, Canada; Marquez-Chin C., Rehabilitation Engineering Laboratory, Toronto Rehabilitation Institute, University Health Network, Toronto, Canada, Neural Engineering Laboratory, Toronto Rehabilitation Institute, University Health Network, Toronto, Canada; Popovic M.R., Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, Canada, Rehabilitation Engineering Laboratory, Toronto Rehabilitation Institute, University Health Network, Toronto, Canada; Navarro J., Division of Functional Neurosurgery, Institute of Psychiatry, Hospital das Clínicas, Department of Neurology, University of Sao Paulo Medical School, São Paulo, Brazil; Fonoff E.T., Division of Functional Neurosurgery, Institute of Psychiatry, Hospital das Clínicas, Department of Neurology, University of Sao Paulo Medical School, São Paulo, Brazil; Hamani C., Toronto Western Research Institute, University Health Network, Toronto, Canada; Wong W., Department of Electrical and Computer Engineering, University of Toronto, Toronto, Canada, Institute of Biomaterials and Biomedical Engineering, University of Toronto, Toronto, Canada",,"Adult; Arm; Biomechanical Phenomena; Brain-Computer Interfaces; Electrocorticography; Electrodes, Implanted; Electroencephalography; Electromyography; Female; Humans; Linear Models; Male; Middle Aged; Motor Cortex; Movement; adult; arm movement; Article; brain depth stimulation; chronic pain; clinical article; electrocorticography; electrode implant; electroencephalogram; electromyography; female; gamma rhythm; human; male; measurement accuracy; middle aged; motor cortex; movement (physiology); prediction; sensorimotor cortex; velocity; arm; biomechanics; brain computer interface; electroencephalography; movement (physiology); physiology; statistical model"
Bobrova E.V.; Reshetnikova V.V.; Vershinina E.A.; Grishin A.A.; Bobrov P.D.; Frolov A.A.; Gerasimenko Y.P.,"Success of hand movement imagination depends on personality traits, brain asymmetry, and degree of handedness",2021,Brain Sciences,14,https://www.scopus.com/pages/publications/85109148900?origin=resultslist,"Bobrova E.V., Pavlov Institute of Physiology, Russian Academy of Sciences, Saint-Petersburg, 199034, Russian Federation; Reshetnikova V.V., Pavlov Institute of Physiology, Russian Academy of Sciences, Saint-Petersburg, 199034, Russian Federation; Vershinina E.A., Pavlov Institute of Physiology, Russian Academy of Sciences, Saint-Petersburg, 199034, Russian Federation; Grishin A.A., Pavlov Institute of Physiology, Russian Academy of Sciences, Saint-Petersburg, 199034, Russian Federation; Bobrov P.D., Institute of Translational Medicine, Pirogov of Russian National Research Medical University, Moscow, 117997, Russian Federation, Institute of Higher Nervous Activity and Neurophysiology, Russian Academy of Sciences, Moscow, 117485, Russian Federation; Frolov A.A., Institute of Translational Medicine, Pirogov of Russian National Research Medical University, Moscow, 117997, Russian Federation, Institute of Higher Nervous Activity and Neurophysiology, Russian Academy of Sciences, Moscow, 117485, Russian Federation; Gerasimenko Y.P., Pavlov Institute of Physiology, Russian Academy of Sciences, Saint-Petersburg, 199034, Russian Federation, Department of Physiology and Biophysics, University of Louisville, Louisville, 40292, KY, United States, Kentucky Spinal Cord Injury Research Center, Frazier Rehab Institute, University of Louisville, UofL Health, Louisville, 40202, KY, United States",Brain-computer interface; Handedness; Interhemispheric asymmetry; Motor imagery; Neurorehabilitation; Personality traits; Psychology,dopamine; ketotifen fumarate; luteinizing hormone; adult; alpha rhythm; amyotrophic lateral sclerosis; anterior cingulate; anxiety; Article; brain asymmetry; brain region; cerebrovascular accident; clinical article; cognition; cytogenetics; electroencephalogram; electromyography; emotionality; endoscopic retrograde cholangiopancreatography; extraversion; gamma rhythm; goniometry; hand movement; handedness; human; imagery; imagination; knee; left handedness; Mini Mental State Examination; motor control; neuropathic pain; neuropsychological test; neurorehabilitation; personality; questionnaire; rehabilitation patient; spinal cord injury; thoracic spinal cord; training
Ma J.; Zhang D.; Zhao T.Y.; Liu X.X.; Wang J.; Lu L.; Wang Y.; Jin S.,Mechanism and application prospects of motor imagery in spinal cord injury,2022,Chinese Journal of Tissue Engineering Research,4,https://www.scopus.com/pages/publications/85130711360?origin=resultslist,"Ma J., Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Zhang D., Hospital of Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Zhao T.Y., Hospital of Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Liu X.X., Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Wang J., Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Lu L., Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Wang Y., Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China; Jin S., Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China, Hospital of Chengdu University of Traditional Chinese Medicine, Sichuan Province, Chengdu, 610036, China",brain-machine interface; magnetic resonance imaging; magnetoencephalography; motor imagery; neurological rehabilitation; rehabilitation research; review; spinal cord injury,Article; bladder function; brain region; central nervous system; convalescence; human; imagery; limb; memory; mental health; motion; motor performance; nerve cell plasticity; neuromuscular function; neuropathic pain; neurorehabilitation; spinal cord injury; systematic review
DePass M.; Falaki A.; Quessy S.; Dancause N.; Cos I.,A machine learning approach to characterize sequential movement-related states in premotor and motor cortices,2022,Journal of Neurophysiology,4,https://www.scopus.com/pages/publications/85130004202?origin=resultslist,"DePass M., Departament de Matemàtiques i Informàtica, Facultat de Matemàtiques i Informàtica, Universitat de Barcelona, Barcelona, Spain; Falaki A., Département de Neurosciences, Faculté de Médecine, Université de Montréal, Montreal, QC, Canada; Quessy S., Département de Neurosciences, Faculté de Médecine, Université de Montréal, Montreal, QC, Canada; Dancause N., Département de Neurosciences, Faculté de Médecine, Université de Montréal, Montreal, QC, Canada, Centre interdisciplinaire de recherche sur le cerveau et l’apprentissage (CIRCA), Université de Montréal, Montreal, QC, Canada; Cos I., Departament de Matemàtiques i Informàtica, Facultat de Matemàtiques i Informàtica, Universitat de Barcelona, Barcelona, Spain, Serra-Húnter Research Programme, Barcelona, Spain",brain-computer interfaces; local field potentials; motor control; movement decoding; neural coding,Animals; Brain-Computer Interfaces; Machine Learning; Microelectrodes; Motor Cortex; Movement; atropine; bone cement; buprenorphine; carprofen; dexamethasone; enrofloxacin; furane; gabapentin; isoflurane; ketamine; mannitol; adult; amplitude modulation; animal experiment; Article; brain region; classifier; controlled study; data accuracy; gold standard; grip strength; hemisphere; infection; inflammation; information retrieval; local field potential; machine learning; male; motor control; motor cortex; movement (physiology); nerve cell; nonhuman; pain; premotor cortex; primary motor cortex; reach to grasp task; rest; reward; rhesus monkey; salivation disorder; swelling; task performance; animal; brain computer interface; machine learning; microelectrode; movement (physiology); physiology
Ushiba J.,Brain-machine interface - Current status and future prospects,2010,Brain and Nerve,12,https://www.scopus.com/pages/publications/77249127552?origin=resultslist,"Ushiba J., Department of Biosciences and Informatics, Faculty of Science and Technology, Keio University, Kohoku-ku, Yokohama, Kanagawa 223-8522, 3-14-1 Hiyoshi, Japan, Department of Rehabilitation Medicine, Keio University, School of Medicine, Japan, Keio University, Tsukigase Rehabilitation Center, Japan",Electroencephalogram; Motor output; Neuroprosthetics; Neurorehabilitation; Noninvasive recording,"Brain; Electroencephalography; Humans; Nervous System Diseases; Signal Processing, Computer-Assisted; User-Computer Interface; accuracy; article; brain computer interface; controlled study; electrocorticography; electrode; electroencephalogram; epilepsy; human; invasive procedure; motor activity; motor cortex; myoelectric control; neuromuscular disease; neuromuscular system; neurophysiology; pain; sensorimotor cortex; validation process"
Mishler J.; Yun R.; Perlmutter S.; Rao R.P.N.; Fetz E.,Manipulation of neuronal activity by an artificial spiking neural network implemented on a closed-loop brain-computer interface in non-human primates,2025,Journal of Neural Engineering,0,https://www.scopus.com/pages/publications/105011278320?origin=resultslist,"Mishler J., Department of Bioengineering, University of Washington, Seattle, WA, United States, Center for Neurotechnology, University of Washington, Seattle, WA, United States; Yun R., Department of Bioengineering, University of Washington, Seattle, WA, United States, Center for Neurotechnology, University of Washington, Seattle, WA, United States; Perlmutter S., Department of Bioengineering, University of Washington, Seattle, WA, United States, Washington National Primate Research Center, University of Washington, Seattle, WA, United States, Department of Neurobiology & Biophysics, University of Washington, Seattle, WA, United States, Center for Neurotechnology, University of Washington, Seattle, WA, United States; Rao R.P.N., Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA, United States, Center for Neurotechnology, University of Washington, Seattle, WA, United States; Fetz E., Department of Bioengineering, University of Washington, Seattle, WA, United States, Washington National Primate Research Center, University of Washington, Seattle, WA, United States, Department of Neurobiology & Biophysics, University of Washington, Seattle, WA, United States, Center for Neurotechnology, University of Washington, Seattle, WA, United States",brain-computer interface; closed-loop; intracortical microstimulation; spiking neural networks,"Action Potentials; Animals; Brain-Computer Interfaces; Macaca mulatta; Male; Motor Cortex; Neural Networks, Computer; Neurons; Bioactivity; Brain; Dynamics; Electrophysiology; Interfaces (computer); Mammals; Molecular biology; Neural networks; Neurons; Tin compounds; analgesic agent; antibiotic agent; Closed loop dynamic; Closed-loop; Fire units; Integrate and fires; Intracortical microstimulation; Microstimulation; Neural-networks; Non-human primate; Single neuron; Spiking neural network; adult; animal cell; animal experiment; animal tissue; Article; controlled study; craniotomy; decay time constant; excitatory postsynaptic potential; feedback system; firing rate; inhibitory postsynaptic potential; intracortical microstimulation; Macaca nemestrina; Markov chain; neocortex; nerve cell; nerve cell membrane potential; nerve stimulation; nonhuman; postoperative analgesia; postoperative pain; primary motor cortex; rest; spike wave; spiking neural network; action potential; animal; artificial neural network; brain computer interface; male; motor cortex; physiology; rhesus monkey; Brain computer interface"
Ang K.K.; Guan C.; Phua K.S.; Wang C.; Zhou L.; Tang K.Y.; Ephraim Joseph G.J.; Keong Kuah C.W.; Geok Chua K.S.,Brain-computer interface-based robotic end effector system for wrist and hand rehabilitation: Results of a three-armed randomized controlled trial for chronic stroke,2014,Frontiers in Neuroengineering,297,https://www.scopus.com/pages/publications/84905166755?origin=resultslist,"Ang K.K., Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Guan C., Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Phua K.S., Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Wang C., Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Zhou L., Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Tang K.Y., Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Ephraim Joseph G.J., Department of Rehabilitation Medicine, Tan Tock Seng Hospital, Singapore; Keong Kuah C.W., Department of Rehabilitation Medicine, Tan Tock Seng Hospital, Singapore; Geok Chua K.S., Department of Rehabilitation Medicine, Tan Tock Seng Hospital, Singapore",Brain-computer interface; Electroencephalography; Motor imagery; Robotic; Stroke rehabilitation,adult; adverse outcome; arm rehabilitation; article; body posture; brain computer interface; cerebrovascular accident; chronic disease; clinical article; clinical effectiveness; controlled study; disease duration; electroencephalography; female; Fugl Meyer Motor Assessment score; grip strength; hand pain; hand rehabilitation; Haptic Knob robot; hemiplegia; human; imagery; male; Motor imagery; outcome assessment; randomized controlled trial; rehabilitation; rehabilitation equipment; robotics; scoring system; shoulder pain; single blind procedure; therapy effect
He C.; Chen X.; Wang G.; Su J.,Brain-computer interface empowers athletic injury rehabilitation; [脑机接口赋能运动损伤康复],2024,Chinese Journal of Trauma,1,https://www.scopus.com/pages/publications/105005429319?origin=resultslist,"He C., Department of Orthopedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200092, China; Chen X., Department of Orthopedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200092, China; Wang G., Department of Orthopedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200092, China; Su J., Department of Orthopedics, Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200092, China, Institute of Translational Medicine, Shanghai University, Shanghai, 200444, China","Artificial intelligence; Athletic injuries, rehabilitation; Brain-computer interface",
Llobera J.; González-Franco M.; Perez-Marcos D.; Valls-Solé J.; Slater M.; Sanchez-Vives M.V.,Virtual reality for assessment of patients suffering chronic pain: A case study,2013,Experimental Brain Research,44,https://www.scopus.com/pages/publications/84877033421?origin=resultslist,"Llobera J., EVENT Lab, University of Barcelona, Barcelona, Spain; González-Franco M., EVENT Lab, University of Barcelona, Barcelona, Spain; Perez-Marcos D., IDIBAPS Institut D Investigacions Biomèdiques August Pi i Sunyer, Barcelona, Spain; Valls-Solé J., IDIBAPS Institut D Investigacions Biomèdiques August Pi i Sunyer, Barcelona, Spain, Department of Neurology, Hospital Clínic, University of Barcelona, Barcelona, Spain; Slater M., EVENT Lab, University of Barcelona, Barcelona, Spain, Institució Catalana de Recerca i Estudis Avançats (ICREA), Barcelona, Spain; Sanchez-Vives M.V., IDIBAPS Institut D Investigacions Biomèdiques August Pi i Sunyer, Barcelona, Spain, Institució Catalana de Recerca i Estudis Avançats (ICREA), Barcelona, Spain, Departament de Psicologia Bàsica, University of Barcelona, Barcelona, Spain",Assessment; Body ownership; Immersive virtual reality; Pain,"Adult; Brain-Computer Interfaces; Calibration; Chronic Pain; Computer Graphics; Dystonia; Electroencephalography; Electromyography; Environment; Hand; Humans; Magnetic Resonance Imaging; Male; Muscle, Skeletal; Nervous System Diseases; Pain Measurement; Psychomotor Performance; Recovery of Function; Self Concept; User-Computer Interface; action potential; adult; article; brain computer interface; brain electrophysiology; brain function; chronic pain; clinical article; controlled study; dystonia; electromyography; female; fixed posture dystonia; human; male; motor unit potential; neuroimaging; neurologic examination; neurophysiology; nuclear magnetic resonance imaging; pain assessment; peripheral nerve; priority journal; tactile stimulation; virtual reality; voluntary movement"
